name,artist,duration_ms
The Devil & The Huntsman,Daniel Pemberton,258373
Берсерк,Сколот,292932
Angel,Theory of a Deadman,202213
Crystallize,Lindsey Stirling,258800
Капитан Америка - Не берёт трубу,Noize MC,190066
Faster,Samantha Fish,175773
Temptation,Arash,207546
Кицунэ,Мельница,258393
Blood for Blood (Faoladh),Powerwolf,191160
Lullaby,Nickelback,228106
Bodytalk (STFU),"Blasterjaxx, Raven & Kreyn",145821
MAYDAY (feat. Ryo from Crystal Lake),coldrain,227011
Jishu,"ksviety, Roce",144545
World War Me,Theory of a Deadman,194746
Bombshell,Powerman 5000,194173
They Don't Care About Us,Saliva,244040
I Miss the Misery,Ai Mori,184390
Алан,Woodscream,179076
Serpentine,Disturbed,249760
Angels & Demons,"Ghost Stories, D-Block & S-te-Fan",179200
Gonna Get Mine,Halestorm,177480
Песенка про паладина,Fun Mode,181044
Beast Unleashed,Vin Jay,120000
How Much Is the Fish?,Scooter,227000
Omen - Extended,The Prodigy,225373
Don't Speak (I Came To Make A Bang!),Eagles Of Death Metal,167840
Valhalla Calling,Peyton Parrish,212330
Outback,Moonshine Bandits,215233
Reckless,JAXSON GAMBLE,196800
Pain,Three Days Grace,202973
Somebody To Love - LIZOT Remix,"Basstrologe, LIZOT",124687
Papaoutai,Stromae,232146
Nancy Mulligan,Ed Sheeran,179786
Улетай на крыльях ветра,Kalevala,265874
The Only,Static-X,171106
Will The Sun Ever Rise,Five Finger Death Punch,236437
Love-Hate-Sex-Pain,Godsmack,315453
Run,Disturbed,193320
Enter Sandman,Jay Smith,334706
Enter Sandman,Various Artists,325854
Such a Shame,Black Stone Cherry,205493
Should I Stay or Should I Go - Remastered,The Clash,188986
The Witcher 3: Wild Hunt: The Wolven Storm (Priscilla's Song),Geek Music,198732
ULTRAnumb,Blue Stahli,265434
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Howard Shore,300840
Holding on to Heaven,Nickelback,231893
I Own You,Shinedown,217426
Hell To Pay,Five Finger Death Punch,187670
Peek-A-Boo,Alice Goes to Motherland,220441
The Only,RADIO TAPOK,173280
Another Way to Die,Disturbed,253386
Staring at the Mirror,Black Stone Cherry,202293
